Citation Key,Year,First Author,Title,Journal,Cities,Region,Type,DOI
Rafael2020,2020,Rafael,Application of SUEWS model forced with WRF: Energy fluxes validation in urban and suburban Portugues...,Urban Climate,-,Global/Method,Methodology,https://doi.org/10.1016/j.uclim.2020.100662
Augusto2020,2020,Augusto,Short and medium- to long-term impacts of nature-based solutions on urban heat,Sustainable Cities and Society,-,Global/Method,Methodology,https://doi.org/10.1016/j.scs.2020.102122
Lindberg2020,2020,Lindberg,"Urban storage heat flux variability explored using satellite, meteorological and geodata",Theoretical and Applied Climatology,London; Heraklion,Europe,City Study,https://doi.org/10.1007/s00704-020-03189-1
Fernandez2021,2021,Fernandez,Analysis of the Urban Energy Balance in Bahia Blanca (Argentina),Urban Climate,Bahia Blanca,South America,City Study,https://doi.org/10.1016/j.uclim.2021.100856
Wiegels2021,2021,Wiegels,High resolution modeling of the impact of urbanization and green infrastructure on the water and ene...,Urban Climate,-,Global/Method,Methodology,https://doi.org/10.1016/j.uclim.2021.100961
Chen2021,2021,Chen,Impact of BIPV windows on building energy consumption in street canyons: Model development and valid...,Energy and Buildings,Phoenix,North America,City Study,https://doi.org/10.1016/j.enbuild.2021.111207
Jaenicke2021,2021,Jaenicke,Review of User-Friendly Models to Improve the Urban Micro-Climate,Atmosphere,-,Global/Method,Methodology,https://doi.org/10.3390/atmos12101291
Tang2021,2021,Tang,Urban meteorological forcing data for building energy simulations,Building and Environment,London,Europe,City Study,https://doi.org/10.1016/j.buildenv.2021.108088
Havu2022,2022,Havu,Carbon sequestration potential of street tree plantings in Helsinki,Biogeosciences,Helsinki,Europe,City Study,https://doi.org/10.5194/bg-19-2121-2022
Tsirantonakis2022,2022,Tsirantonakis,Earth Observation Data Exploitation in Urban Surface Modelling: The Urban Energy Balance Response to...,Remote Sensing,Heraklion,Europe,City Study,https://doi.org/10.3390/rs14061473
Ao2022,2022,Ao,Parameter Sensitivity Analysis and Optimization of the Single-Layer Urban Canopy Model in the Megaci...,Advances in Meteorology,Shanghai,Asia,City Study,https://doi.org/10.1155/2022/7351150
Omidvar2022,2022,Omidvar,Surface Urban Energy and Water Balance Scheme (v2020a) in vegetated areas: parameter derivation and ...,Geoscientific Model Development,-,Global/Method,Methodology,https://doi.org/10.5194/gmd-15-3041-2022
McNorton2023,2023,McNorton,An Urban Scheme for the ECMWF Integrated Forecasting System: Global Forecasts and Residential CO2 Em...,Journal of Advances in Modeling Earth Systems,-,Global/Method,Methodology,https://doi.org/10.1029/2022MS003286
Stretton2023,2023,Stretton,Evaluation of vertically resolved longwave radiation in SPARTACUS-Urban 0.7.3 and the sensitivity to...,Geoscientific Model Development,London,Europe,City Study,https://doi.org/10.5194/gmd-16-5931-2023
Kamath2023,2023,Kamath,Human heat health index (H3I) for holistic assessment of heat hazard and mitigation strategies beyon...,Urban Climate,Austin,North America,City Study,https://doi.org/10.1016/j.uclim.2023.101675
Xie2023,2023,Xie,Impact of building density on natural ventilation potential and cooling energy saving across Chinese...,Building and Environment,-,Global/Method,Methodology,https://doi.org/10.1016/j.buildenv.2023.110621
Zheng2023,2023,Zheng,Simulating heat and CO2 fluxes in Beijing using SUEWS V2020b: sensitivity to vegetation phenology an...,Geoscientific Model Development,Beijing,Asia,City Study,https://doi.org/10.5194/gmd-16-4551-2023
Dou2023,2023,Dou,Surface energy balance fluxes in a suburban area of Beijing: energy partitioning variability,Atmospheric Chemistry and Physics,Beijing,Asia,City Study,https://doi.org/10.5194/acp-23-13143-2023
Obe2024,2024,Obe,A study of the impact of landscape heterogeneity on surface energy fluxes in a tropical climate usin...,Urban Climate,Lagos,Africa,City Study,https://doi.org/10.1016/j.uclim.2023.101788
Wang2024,2024,Wang,An urban module coupled with the Variable Infiltration Capacity model to improve hydrothermal simula...,Geoscientific Model Development,Beijing,Asia,City Study,https://doi.org/10.5194/gmd-17-5803-2024
Havu2024,2024,Havu,CO2 uptake of urban vegetation in a warming Nordic city,Urban Forestry &amp; Urban Greening,Helsinki,Europe,City Study,https://doi.org/10.1016/j.ufug.2024.128261
Vurro2024,2024,Vurro,Contrasting the features and functionalities of urban microclimate simulation tools,Energy and Buildings,-,Global/Method,Methodology,https://doi.org/10.1016/j.enbuild.2024.114042
Xie2024,2024,Xie,Could residential air-source heat pumps exacerbate outdoor summer overheating and winter overcooling...,Sustainable Cities and Society,London,Europe,City Study,https://doi.org/10.1016/j.scs.2024.105811
Hang2024,2024,Hang,Evaluation of surface urban energy and water balance scheme (SUEWS) using scaled 2D model experiment...,Urban Climate,-,Global/Method,Methodology,https://doi.org/10.1016/j.uclim.2024.101851
Briegel2024,2024,Briegel,High-resolution multi-scaling of outdoor human thermal comfort and its intra-urban variability based...,Geoscientific Model Development,Freiburg,Europe,City Study,https://doi.org/10.5194/gmd-17-1667-2024
Gupta2024,2024,Gupta,"Simulating urban surface energy balance of an academic campus and surroundings in Mumbai, India",Urban Climate,Mumbai,Asia,City Study,https://doi.org/10.1016/j.uclim.2024.102044
Takane2024,2024,Takane,SLUCM+BEM (v1.0): a simple parameterisation for dynamic anthropogenic heat and electricity consumpti...,Geoscientific Model Development,Tokyo,Asia,City Study,https://doi.org/10.5194/gmd-17-8639-2024
Blunn2024,2024,Blunn,"Spatial and temporal variation of anthropogenic heat emissions in Colombo, Sri Lanka",Urban Climate,Colombo,Asia,City Study,https://doi.org/10.1016/j.uclim.2024.101828
Sun2024,2024,Sun,"WRF (v4.0)-SUEWS (v2018c) coupled system: development, evaluation and application",Geoscientific Model Development,London; Swindon,Europe,City Study,https://doi.org/10.5194/gmd-17-91-2024
Dong2025,2025,Dong,A global urban tree leaf area index dataset for urban climate modeling,Scientific Data,-,Global/Method,Methodology,https://doi.org/10.1038/s41597-025-04729-y
Gal2025,2025,Gal,A Structured Literature Review of the Application of Local Climate Zones (LCZ) in Urban Climate Mode...,Earth,-,Global/Method,Methodology,https://doi.org/10.3390/earth7010003
Chen2025,2025,Chen,Barriers to urban hydrometeorological simulation: a review,Hydrology and Earth System Sciences,-,Global/Method,Methodology,https://doi.org/10.5194/hess-29-3447-2025
Tholix2025,2025,Tholix,Carbon sequestration in different urban vegetation types in Southern Finland,Biogeosciences,Helsinki; Hamburg,Europe,City Study,https://doi.org/10.5194/bg-22-725-2025
Roberts2025,2025,Roberts,Compound urban heat risk revealed by co-location of social vulnerability and elevated temperatures i...,Sustainable Cities and Society,London,Europe,City Study,https://doi.org/10.1016/j.scs.2025.106756
Zheng2025,2025,Zheng,Direct CO2 emissions and uptake at neighbourhood-scale across the urban area of Beijing,City and Environment Interactions,Beijing,Asia,City Study,https://doi.org/10.1016/j.cacint.2025.100252
Ren2025,2025,Ren,Evaluating the influence of urban trees and microclimate on residential energy consumption in Dublin...,Building and Environment,Dublin,Europe,City Study,https://doi.org/10.1016/j.buildenv.2024.112441
Stagakis2025,2025,Stagakis,Intercomparison of biogenic CO2 flux models in four urban parks in the city of Zurich,Biogeosciences,Zurich,Europe,City Study,https://doi.org/10.5194/bg-22-2133-2025
Mei2025,2025,Mei,Parameterizing urban canopy radiation transfer using three-dimensional urban morphological parameter...,Urban Climate,-,Global/Method,Methodology,https://doi.org/10.1016/j.uclim.2025.102363
Zheng2025a,2025,Zheng,Reanalysis-data-based approach to generate urban local weather data to support building energy desig...,Sustainable Cities and Society,Singapore,Asia,City Study,https://doi.org/10.1016/j.scs.2025.106629
Luo2025,2025,Luo,Simulation of CO2 flux and evaluation of carbon neutrality potential at the neighborhood scale in Be...,Advances in Climate Change Research,Beijing,Asia,City Study,https://doi.org/10.1016/j.accre.2025.06.008
Piroddu2026,2026,Piroddu,A systematic review of urban energy balance assessments,Urban Climate,-,Global/Method,Methodology,https://doi.org/10.1016/j.uclim.2026.102789
Gong2026,2026,Gong,Evaluation of the surface urban energy and water balance scheme (SUEWS) and its application in LCZs ...,Sustainable Cities and Society,Guangzhou,Asia,City Study,https://doi.org/10.1016/j.scs.2026.107507
Hua2026,2026,Hua,Flux-tower evaluation and LCZ-based application of SUEWS in a temperate monsoon city: A case study o...,Building and Environment,Xiong'an; Baoding,Asia,City Study,https://doi.org/10.1016/j.buildenv.2025.113896
